id,title,short_name,official_reference,enacted_date,effective_date,status,country_id,category_id,description
L001,Regime Jurídico da Promoção da Segurança e Saúde no Trabalho,Lei SST,Lei 102/2009 de 10 de setembro,2009-09-10,2009-12-10,Active,C001,CAT001,Portuguese framework law for occupational health and safety
L002,Regulamento Geral sobre a Proteção de Dados - Implementação Nacional,RGPD PT,Lei 58/2019 de 8 de agosto,2019-08-08,2019-08-09,Active,C001,CAT002,Portuguese national implementation law supplementing GDPR
L003,Lei de Bases da Política de Ambiente,LBA,Lei 19/2014 de 14 de abril,2014-04-14,2014-07-13,Active,C001,CAT003,Portuguese environmental policy framework
L004,Código do Trabalho,CT,Lei 7/2009 de 12 de fevereiro,2009-02-12,2009-02-17,Active,C001,CAT004,Portuguese Labour Code covering employment relations and worker rights
L005,General Data Protection Regulation,GDPR,Regulation (EU) 2016/679,2016-05-04,2018-05-25,Active,C002,CAT002,EU regulation on data protection and privacy for all EU member states
L006,Framework Directive on Safety and Health at Work,OSH Framework Directive,Directive 89/391/EEC,1989-06-12,1992-12-31,Active,C002,CAT001,EU framework directive establishing minimum OSH requirements across member states
L007,Network and Information Security Directive 2,NIS2,Directive (EU) 2022/2555,2022-12-14,2024-10-18,Active,C002,CAT002,EU directive on cybersecurity for essential and important entities
L008,Corporate Sustainability Reporting Directive,CSRD,Directive (EU) 2022/2464,2022-12-14,2023-01-05,Active,C002,CAT003,EU directive requiring large companies to report on sustainability and ESG
L009,Arbeitsschutzgesetz,ArbSchG,ArbSchG vom 7. August 1996,1996-08-07,1996-08-21,Active,C003,CAT001,German occupational health and safety act transposing EU Framework Directive
L010,Bundesdatenschutzgesetz,BDSG,BDSG 2018,2018-06-05,2018-05-25,Active,C003,CAT002,German Federal Data Protection Act supplementing GDPR at national level
L011,Bundes-Immissionsschutzgesetz,BImSchG,BImSchG 1974,1974-03-15,1974-04-01,Active,C003,CAT003,German Federal Immission Control Act for air quality and industrial emissions
L012,Health and Safety at Work Act,HSWA 1974,HSWA 1974,1974-07-31,1974-10-01,Active,C004,CAT001,UK primary health and safety legislation imposing general duties on employers
L013,UK General Data Protection Regulation,UK GDPR,Data Protection Act 2018,2018-05-23,2018-05-25,Active,C004,CAT002,UK retained GDPR framework with post-Brexit national modifications
L014,Environment Act 2021,EA 2021,Environment Act 2021,2021-11-09,2021-11-09,Active,C004,CAT003,UK environment protection act with legally binding biodiversity and air quality targets
L015,Lei Geral de Proteção de Dados,LGPD,Lei 13709/2018,2018-08-14,2020-09-18,Active,C005,CAT002,Brazilian General Data Protection Law modelled broadly on EU GDPR
L016,Norma Regulamentadora 1 - Disposições Gerais e Gerenciamento de Riscos,NR-1,Portaria MTE 3214/1978 NR-1,1978-06-08,2021-01-03,Active,C005,CAT001,Brazilian general occupational safety regulation with mandatory risk management program
L017,Norma Regulamentadora 6 - Equipamentos de Proteção Individual,NR-6,Portaria MTE 3214/1978 NR-6,1978-06-08,2018-01-01,Active,C005,CAT001,Brazilian regulation on employer obligations for personal protective equipment
L018,Occupational Safety and Health Act,OSHA Act 1970,29 USC 651,1970-12-29,1971-04-28,Active,C006,CAT001,US federal law creating OSHA and establishing general duty clause for workplace safety
L019,California Consumer Privacy Act,CCPA,Cal. Civ. Code 1798.100,2018-06-28,2020-01-01,Active,C006,CAT002,California consumer privacy rights act granting data rights to CA residents
L020,Clean Air Act,CAA,42 USC 7401,1970-12-31,1970-12-31,Active,C006,CAT003,US federal air pollution control legislation with national ambient air quality standards
